Mã,Tên,Tên Tiếng Anh,Cấp,Mã QH,Quận Huyện,Mã TP,Tỉnh / Thành Phố
64,Phường Hàng Gai,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
67,Phường Chương Dương,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
70,Phường Hàng Trống,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
73,Phường Cửa Nam,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
76,Phường Hàng Bông,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
79,Phường Tràng Tiền,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
82,Phường Trần Hưng Đạo,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
85,Phường Phan Chu Trinh,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
88,Phường Hàng Bài,,Phường,2,Quận Hoàn Kiếm,1,Thành phố Hà Nội
91,Phường Phú Thượng,,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
94,Phường Nhật Tân,,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
97,Phường Tứ Liên,,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
100,Phường Quảng An,,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
103,Phường Xuân La,,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
106,Phường Yên Phụ,,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
109,Phường Bưởi,,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
112,Phường Thụy Khuê,,Phường,3,Quận Tây Hồ,1,Thành phố Hà Nội
115,Phường Thượng Thanh,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
118,Phường Ngọc Thụy,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
121,Phường Giang Biên,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
124,Phường Đức Giang,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
127,Phường Việt Hưng,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
130,Phường Gia Thụy,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
133,Phường Ngọc Lâm,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
136,Phường Phúc Lợi,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
139,Phường Bồ Đề,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
142,Phường Sài Đồng,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
145,Phường Long Biên,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
148,Phường Thạch Bàn,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
151,Phường Phúc Đồng,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
154,Phường Cự Khối,,Phường,4,Quận Long Biên,1,Thành phố Hà Nội
157,Phường Nghĩa Đô,,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
160,Phường Nghĩa Tân,,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
163,Phường Mai Dịch,,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
166,Phường Dịch Vọng,,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
167,Phường Dịch Vọng Hậu,Dich Vong Hau Commune,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
169,Phường Quan Hoa,,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
172,Phường Yên Hoà,,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
175,Phường Trung Hoà,,Phường,5,Quận Cầu Giấy,1,Thành phố Hà Nội
178,Phường Cát Linh,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
181,Phường Văn Miếu,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
184,Phường Quốc Tử Giám,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
187,Phường Láng Thượng,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
190,Phường Ô Chợ Dừa,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
193,Phường Văn Chương,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
196,Phường Hàng Bột,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
199,Phường Láng Hạ,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
202,Phường Khâm Thiên,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
205,Phường Thổ Quan,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
208,Phường Nam Đồng,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
211,Phường Trung Phụng,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
214,Phường Quang Trung,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
217,Phường Trung Liệt,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
220,Phường Phương Liên,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
223,Phường Thịnh Quang,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
226,Phường Trung Tự,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
229,Phường Kim Liên,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
232,Phường Phương Mai,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
235,Phường Ngã Tư Sở,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
238,Phường Khương Thượng,,Phường,6,Quận Đống Đa,1,Thành phố Hà Nội
241,Phường Nguyễn Du,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
244,Phường Bạch Đằng,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
247,Phường Phạm Đình Hổ,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
256,Phường Lê Đại Hành,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
259,Phường Đồng Nhân,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
262,Phường Phố Huế,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
265,Phường Đống Mác,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
268,Phường Thanh Lương,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
271,Phường Thanh Nhàn,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
274,Phường Cầu Dền,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
277,Phường Bách Khoa,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
280,Phường Đồng Tâm,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
283,Phường Vĩnh Tuy,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
286,Phường Bạch Mai,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
289,Phường Quỳnh Mai,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
292,Phường Quỳnh Lôi,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
295,Phường Minh Khai,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
298,Phường Trương Định,,Phường,7,Quận Hai Bà Trưng,1,Thành phố Hà Nội
301,Phường Thanh Trì,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
304,Phường Vĩnh Hưng,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
307,Phường Định Công,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
310,Phường Mai Động,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
313,Phường Tương Mai,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
316,Phường Đại Kim,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
319,Phường Tân Mai,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
322,Phường Hoàng Văn Thụ,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
325,Phường Giáp Bát,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
328,Phường Lĩnh Nam,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
331,Phường Thịnh Liệt,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
334,Phường Trần Phú,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
337,Phường Hoàng Liệt,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
340,Phường Yên Sở,,Phường,8,Quận Hoàng Mai,1,Thành phố Hà Nội
343,Phường Nhân Chính,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
346,Phường Thượng Đình,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
349,Phường Khương Trung,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
352,Phường Khương Mai,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
355,Phường Thanh Xuân Trung,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
358,Phường Phương Liệt,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
361,Phường Hạ Đình,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
364,Phường Khương Đình,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
367,Phường Thanh Xuân Bắc,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
370,Phường Thanh Xuân Nam,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
373,Phường Kim Giang,,Phường,9,Quận Thanh Xuân,1,Thành phố Hà Nội
376,Thị trấn Sóc Sơn,,Thị trấn,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
379,Xã Bắc Sơn,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
382,Xã Minh Trí,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
385,Xã Hồng Kỳ,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
388,Xã Nam Sơn,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
391,Xã Trung Giã,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
394,Xã Tân Hưng,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
397,Xã Minh Phú,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
400,Xã Phù Linh,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
403,Xã Bắc Phú,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
406,Xã Tân Minh,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
409,Xã Quang Tiến,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
412,Xã Hiền Ninh,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
415,Xã Tân Dân,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
418,Xã Tiên Dược,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
421,Xã Việt Long,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
424,Xã Xuân Giang,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
427,Xã Mai Đình,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
430,Xã Đức Hoà,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
433,Xã Thanh Xuân,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
436,Xã Đông Xuân,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
439,Xã Kim Lũ,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
442,Xã Phú Cường,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
445,Xã Phú Minh,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
448,Xã Phù Lỗ,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
451,Xã Xuân Thu,,Xã,16,Huyện Sóc Sơn,1,Thành phố Hà Nội
454,Thị trấn Đông Anh,,Thị trấn,17,Huyện Đông Anh,1,Thành phố Hà Nội
457,Xã Xuân Nộn,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
460,Xã Thuỵ Lâm,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
463,Xã Bắc Hồng,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
466,Xã Nguyên Khê,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
469,Xã Nam Hồng,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
472,Xã Tiên Dương,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
475,Xã Vân Hà,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
478,Xã Uy Nỗ,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
481,Xã Vân Nội,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
484,Xã Liên Hà,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
487,Xã Việt Hùng,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
490,Xã Kim Nỗ,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
493,Xã Kim Chung,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
496,Xã Dục Tú,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
499,Xã Đại Mạch,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
502,Xã Vĩnh Ngọc,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
505,Xã Cổ Loa,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
508,Xã Hải Bối,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
511,Xã Xuân Canh,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
514,Xã Võng La,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
517,Xã Tàm Xá,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
520,Xã Mai Lâm,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
523,Xã Đông Hội,,Xã,17,Huyện Đông Anh,1,Thành phố Hà Nội
526,Thị trấn Yên Viên,,Thị trấn,18,Huyện Gia Lâm,1,Thành phố Hà Nội
529,Xã Yên Thường,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
532,Xã Yên Viên,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
535,Xã Ninh Hiệp,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
538,Xã Đình Xuyên,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
541,Xã Dương Hà,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
544,Xã Phù Đổng,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
547,Xã Trung Mầu,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
550,Xã Lệ Chi,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
553,Xã Cổ Bi,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
556,Xã Đặng Xá,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
559,Xã Phú Thị,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
562,Xã Kim Sơn,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
565,Thị trấn Trâu Quỳ,Trau Quy Commune,Thị trấn,18,Huyện Gia Lâm,1,Thành phố Hà Nội
568,Xã Dương Quang,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
571,Xã Dương Xá,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
574,Xã Đông Dư,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
577,Xã Đa Tốn,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
580,Xã Kiêu Kỵ,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
583,Xã Bát Tràng,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
586,Xã Kim Lan,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
589,Xã Văn Đức,,Xã,18,Huyện Gia Lâm,1,Thành phố Hà Nội
592,Phường Cầu Diễn,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
622,Phường Xuân Phương,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
623,Phường Phương Canh,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
625,Phường Mỹ Đình 1,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
626,Phường Mỹ Đình 2,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
628,Phường Tây Mỗ,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
631,Phường Mễ Trì,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
632,Phường Phú Đô,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
634,Phường Đại Mỗ,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
637,Phường Trung Văn,,Phường,19,Quận Nam Từ Liêm,1,Thành phố Hà Nội
640,Thị trấn Văn Điển,,Thị trấn,20,Huyện Thanh Trì,1,Thành phố Hà Nội
643,Xã Tân Triều,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
646,Xã Thanh Liệt,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
649,Xã Tả Thanh Oai,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
652,Xã Hữu Hoà,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
655,Xã Tam Hiệp,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
658,Xã Tứ Hiệp,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
661,Xã Yên Mỹ,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
664,Xã Vĩnh Quỳnh,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
667,Xã Ngũ Hiệp,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
670,Xã Duyên Hà,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
673,Xã Ngọc Hồi,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
676,Xã Vạn Phúc,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
679,Xã Đại áng,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
682,Xã Liên Ninh,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
685,Xã Đông Mỹ,,Xã,20,Huyện Thanh Trì,1,Thành phố Hà Nội
595,Phường Thượng Cát,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
598,Phường Liên Mạc,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
601,Phường Đông Ngạc,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
602,Phường Đức Thắng,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
604,Phường Thụy Phương,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
607,Phường Tây Tựu,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
610,Phường Xuân Đỉnh,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
611,Phường Xuân Tảo,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
613,Phường Minh Khai,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
616,Phường Cổ Nhuế 1,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
617,Phường Cổ Nhuế 2,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
619,Phường Phú Diễn,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
620,Phường Phúc Diễn,,Phường,21,Quận Bắc Từ Liêm,1,Thành phố Hà Nội
8973,Thị trấn Chi Đông,,Thị trấn,250,Huyện Mê Linh,1,Thành phố Hà Nội
8974,Xã Đại Thịnh,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8977,Xã Kim Hoa,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8980,Xã Thạch Đà,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8983,Xã Tiến Thắng,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8986,Xã Tự Lập,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8989,Thị trấn Quang Minh,,Thị trấn,250,Huyện Mê Linh,1,Thành phố Hà Nội
8992,Xã Thanh Lâm,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8995,Xã Tam Đồng,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
8998,Xã Liên Mạc,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9001,Xã Vạn Yên,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9004,Xã Chu Phan,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9007,Xã Tiến Thịnh,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9010,Xã Mê Linh,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9013,Xã Văn Khê,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9016,Xã Hoàng Kim,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9019,Xã Tiền Phong,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9022,Xã Tráng Việt,,Xã,250,Huyện Mê Linh,1,Thành phố Hà Nội
9538,Phường Nguyễn Trãi,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9541,Phường Mộ Lao,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9542,Phường Văn Quán,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9544,Phường Vạn Phúc,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9547,Phường Yết Kiêu,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9550,Phường Quang Trung,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9551,Phường La Khê,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9552,Phường Phú La,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9553,Phường Phúc La,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9556,Phường Hà Cầu,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9562,Phường Yên Nghĩa,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9565,Phường Kiến Hưng,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9568,Phường Phú Lãm,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9571,Phường Phú Lương,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9886,Phường Dương Nội,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
10117,Phường Đồng Mai,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
10123,Phường Biên Giang,,Phường,268,Quận Hà Đông,1,Thành phố Hà Nội
9574,Phường Lê Lợi,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9577,Phường Phú Thịnh,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9580,Phường Ngô Quyền,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9583,Phường Quang Trung,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9586,Phường Sơn Lộc,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9589,Phường Xuân Khanh,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9592,Xã Đường Lâm,,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9595,Phường Viên Sơn,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9598,Xã Xuân Sơn,,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9601,Phường Trung Hưng,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9604,Xã Thanh Mỹ,,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9607,Phường Trung Sơn Trầm,,Phường,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9610,Xã Kim Sơn,,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9613,Xã Sơn Đông,,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9616,Xã Cổ Đông,,Xã,269,Thị xã Sơn Tây,1,Thành phố Hà Nội
9619,Thị trấn Tây Đằng,,Thị trấn,271,Huyện Ba Vì,1,Thành phố Hà Nội
9625,Xã Phú Cường,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9628,Xã Cổ Đô,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9631,Xã Tản Hồng,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9634,Xã Vạn Thắng,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9637,Xã Châu Sơn,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9640,Xã Phong Vân,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9643,Xã Phú Đông,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9646,Xã Phú Phương,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
9649,Xã Phú Châu,,Xã,271,Huyện Ba Vì,1,Thành phố Hà Nội
